Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),Vehicle Age,Condition,Has_AC,Has_PowerSteering,Has_PowerMirror,Has_PowerWindow,Option_Count
4100000,Alfa-Romeo,156,2001.0,170.0,Manual,Petrol,2000.0,25.0,Used,1,0,0,0,1
2150000,Alfa-Romeo,155 T Spark,1994.0,52000.0,Manual,Petrol,1800.0,32.0,Used,1,1,1,1,4
1700000,Audi,A6,2014.0,95000.0,Automatic,Petrol,2000.0,12.0,Used,1,1,1,1,4
18200000,Audi,A3 Advanced Safety,2023.0,18000.0,Automatic,Petrol,1000.0,3.0,Used,1,1,1,1,4
13790000,Audi,A3 1.0L S Line,2019.0,108000.0,Automatic,Petrol,1000.0,7.0,Used,0,0,0,0,0
15000000,Audi,A3 TFSI,2017.0,41000.0,Automatic,Petrol,1400.0,9.0,Used,1,1,1,1,4
16000000,Audi,A3,2023.0,8000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
21600000,Audi,A5 Sportsback,2019.0,58000.0,Automatic,Petrol,1500.0,7.0,Used,1,1,1,1,4
18150000,Audi,A3 Sedan Safety Line,2023.0,5960.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
16000000,Audi,A3,2019.0,7400.0,Automatic,Petrol,1100.0,7.0,Used,1,1,1,1,4
16900000,Audi,A6 S Line,2016.0,76000.0,Automatic,Petrol,1800.0,10.0,Used,0,0,0,0,0
17400000,Audi,A3 Sedan TFSI,2023.0,24000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
25500000,Audi,A5 S-Line,2018.0,72500.0,Automatic,Petrol,1400.0,8.0,Used,1,1,1,1,4
8350000,Audi,A1 TFSI,2016.0,60000.0,Automatic,Petrol,1000.0,10.0,Used,0,0,0,0,0
8200000,Audi,A1,2016.0,137000.0,Automatic,Petrol,1000.0,10.0,Used,1,1,1,1,4
11000000,Audi,A4 B8.5,2012.0,159000.0,Automatic,Petrol,1800.0,14.0,Used,1,1,1,1,4
9200000,Audi,A1,2017.0,92000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
11000000,Audi,A4 B8.5,2012.0,159000.0,Automatic,Petrol,1800.0,14.0,Used,1,1,1,1,4
